               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.067166,            0.025494,                   0,             0.37435,             0.41509,             0.38566,             0.13262,            0.060253,            0.020487,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.065441,            0.025061,                   0,             0.62757,             0.41509,             0.48335,             0.15883,            0.062409,            0.020372,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.066319,            0.024399,                   0,             0.49883,             0.45076,             0.43632,             0.13828,            0.056657,            0.019675,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.065767,            0.024268,                   0,              0.3979,             0.43644,             0.47555,             0.16055,            0.059982,            0.019313,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.069116,            0.022436,                   0,             0.38419,             0.50943,             0.47422,             0.14246,            0.062076,            0.019262,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.073007,            0.022197,                   0,             0.34699,             0.50943,             0.37414,             0.12234,            0.060762,            0.020501,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.064418,            0.025929,                   0,             0.48971,             0.49057,             0.46534,             0.16521,             0.05875,            0.020405,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.069854,            0.022814,                   0,             0.49204,             0.54832,             0.57103,             0.17326,            0.059108,             0.01893,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.06768,            0.023258,                   0,             0.45125,             0.56604,             0.52473,             0.18559,            0.058288,            0.019588,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.066528,            0.022614,                   0,             0.46518,             0.59085,             0.52014,             0.19533,            0.057598,            0.019624,                   0,            0.007195,            0.007195,            0.007195
                  87,             0.06615,            0.023126,                   0,             0.49311,             0.54717,             0.53545,              0.1938,            0.058401,            0.019707,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.063409,            0.024725,                   0,             0.60778,             0.58476,             0.55914,             0.21006,            0.056531,            0.019639,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.067026,            0.024187,                   0,             0.49847,             0.58491,             0.56206,             0.19294,            0.057431,            0.019318,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.066372,            0.023084,                   0,             0.39715,              0.5283,             0.44309,             0.16447,            0.059007,            0.020855,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.066438,            0.022445,                   0,             0.53463,             0.50943,             0.53518,             0.18106,            0.058258,            0.020486,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.066484,            0.023265,                   0,             0.57088,              0.5283,             0.56024,             0.19087,            0.056168,            0.019471,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.062938,            0.022748,                   0,              0.4524,             0.45283,             0.47304,             0.16831,            0.060429,            0.020438,                   0,            0.006964,            0.006964,            0.006964
                  94,              0.0647,            0.022706,                   0,             0.51223,             0.57468,             0.55565,             0.21162,            0.058023,            0.018841,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.064246,             0.02366,                   0,             0.50246,             0.55266,             0.57277,             0.21977,            0.056937,            0.018564,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.064313,            0.026966,                   0,             0.55604,             0.51999,             0.56658,             0.20868,            0.056495,             0.01816,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.065077,            0.022599,                   0,             0.55433,             0.53985,             0.52761,             0.19871,            0.057546,            0.018441,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.064705,            0.022921,                   0,             0.52745,             0.56867,              0.5578,             0.17753,            0.058348,             0.01894,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.067432,            0.024123,                   0,             0.52573,              0.4393,             0.45188,              0.1744,            0.057551,            0.019732,                   0,            0.006766,            0.006766,            0.006766
                 100,             0.06588,            0.022985,                   0,             0.60274,              0.4717,              0.5506,             0.21263,            0.054304,            0.019379,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.062465,            0.022178,                   0,             0.52949,             0.54717,             0.59015,             0.21172,             0.05568,            0.019127,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.061091,            0.024542,                   0,              0.5014,             0.66038,             0.56296,             0.21228,            0.055088,            0.019504,                   0,            0.006667,            0.006667,            0.006667
                 103,              0.0631,            0.026857,                   0,             0.57954,             0.69811,             0.61854,             0.18976,            0.054204,             0.01829,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.066049,            0.022863,                   0,             0.58043,             0.67925,             0.60332,             0.19416,            0.056176,            0.018189,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.063975,            0.021059,                   0,             0.57734,             0.62264,             0.61044,             0.20664,            0.055082,            0.018439,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.061462,            0.021107,                   0,             0.56871,             0.60377,             0.59867,             0.20484,              0.0532,            0.018553,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.062475,            0.023865,                   0,             0.57071,             0.62264,              0.6063,             0.21028,             0.05408,             0.01835,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.065577,            0.022104,                   0,             0.52325,             0.60058,             0.51588,             0.20611,            0.057839,            0.018687,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.064569,            0.021383,                   0,             0.53156,             0.56604,             0.53601,             0.19665,            0.055141,             0.01804,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.063066,            0.023827,                   0,              0.5795,              0.6761,             0.62102,             0.20578,             0.05529,            0.018038,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.063989,            0.024158,                   0,             0.60162,             0.49057,             0.55193,              0.1706,            0.054371,            0.019028,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.061521,            0.024266,                   0,             0.70169,             0.44394,             0.55155,             0.18122,            0.054651,            0.019189,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.063194,            0.023886,                   0,             0.71683,             0.50943,             0.59598,             0.20464,            0.051888,            0.018643,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.062116,            0.023802,                   0,             0.58541,             0.63944,             0.61022,             0.21955,            0.057184,             0.01903,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.062744,            0.024526,                   0,             0.56263,             0.66038,             0.61197,              0.2324,            0.053152,              0.0179,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.063148,            0.022846,                   0,             0.62846,             0.66038,             0.63308,             0.23609,            0.057163,            0.017521,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.062865,            0.021821,                   0,             0.48804,             0.58491,             0.50404,              0.2052,             0.05752,            0.018491,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.06207,            0.021951,                   0,             0.54971,             0.62264,             0.60093,             0.23115,            0.052951,            0.017973,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.061449,            0.022484,                   0,             0.50252,             0.60377,             0.58784,             0.18034,            0.054607,            0.018178,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.061531,            0.023633,                   0,              0.6207,             0.56604,             0.65288,             0.23419,            0.053595,             0.01735,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.062404,            0.022429,                   0,             0.51474,             0.49057,              0.5287,             0.19872,            0.055849,            0.017303,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.060244,            0.022885,                   0,             0.55591,             0.60377,             0.59267,             0.21889,            0.053899,            0.017672,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.062691,            0.021584,                   0,             0.67055,             0.61455,             0.66804,             0.25493,             0.05378,            0.017508,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.063123,            0.022656,                   0,             0.59365,             0.64151,             0.58724,             0.22456,            0.056617,            0.016926,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.060145,            0.022324,                   0,             0.73795,             0.58448,             0.64039,             0.24177,             0.05398,            0.017166,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.065864,            0.019174,                   0,              0.6607,             0.49057,             0.55486,             0.21412,            0.056904,            0.017345,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.063334,            0.022438,                   0,             0.48457,             0.47901,             0.52356,              0.1806,            0.057814,            0.017663,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.065839,            0.020767,                   0,             0.61852,             0.54717,             0.58917,             0.20312,            0.055417,            0.019451,                   0,            0.005809,            0.005809,            0.005809
